"GID"	"ENV"	"Yield"
"442"	"Oat2"	"Env1"	5711.477081
"443"	"Oat50"	"Env4"	6329.448858
"444"	"Oat296"	"Env3"	6518.304678
"445"	"Oat304"	"Env4"	6774.163607
"446"	"Oat2"	"Env4"	6148.874757
"447"	"Oat277"	"Env1"	7741.216489
"448"	"Oat18"	"Env4"	7254.563407
"449"	"Oat291"	"Env2"	5839.556205
"450"	"Oat7"	"Env1"	6335.875921
"451"	"Oat294"	"Env1"	5977.641652
"452"	"Oat326"	"Env4"	7100.530846
"453"	"Oat217"	"Env4"	8166.285778
"454"	"Oat31"	"Env2"	6149.562053
"455"	"Oat21"	"Env2"	6180.784242
"456"	"Oat237"	"Env1"	7233.484847
"457"	"Oat300"	"Env4"	6310.019641
"458"	"Oat205"	"Env4"	6462.400852
"459"	"Oat152"	"Env3"	4616.834823
"460"	"Oat109"	"Env4"	7020.030793
"461"	"Oat58"	"Env1"	6237.643027
"462"	"Oat262"	"Env3"	6673.295667
"463"	"Oat45"	"Env4"	6724.433684
"464"	"Oat262"	"Env1"	6574.674785
"465"	"Oat255"	"Env3"	5948.850241
"466"	"Oat232"	"Env2"	6353.537346
"467"	"Oat189"	"Env1"	6519.683683
"468"	"Oat248"	"Env2"	6444.829675
"469"	"Oat27"	"Env4"	6875.934019
"470"	"Oat61"	"Env2"	5682.38428
"471"	"Oat40"	"Env1"	6217.780178
"472"	"Oat15"	"Env1"	6084.86775
"473"	"Oat96"	"Env3"	5631.739804
"474"	"Oat121"	"Env1"	6040.96201
"475"	"Oat147"	"Env4"	5960.13851
"476"	"Oat210"	"Env2"	6824.124651
"477"	"Oat300"	"Env1"	5932.566168
"478"	"Oat80"	"Env4"	5434.806997
"479"	"Oat28"	"Env2"	6828.595464
"480"	"Oat170"	"Env4"	7808.914358
"481"	"Oat213"	"Env1"	5903.435944
"482"	"Oat45"	"Env3"	5932.022678
"483"	"Oat209"	"Env2"	6185.495553
"484"	"Oat148"	"Env2"	5990.645557
"485"	"Oat145"	"Env1"	7649.634778
"486"	"Oat18"	"Env3"	6436.097495
"487"	"Oat70"	"Env2"	7208.385098
"488"	"Oat314"	"Env4"	7209.692668
"489"	"Oat115"	"Env2"	6699.489336
"490"	"Oat175"	"Env3"	6385.947483
"491"	"Oat328"	"Env3"	5996.819622
"492"	"Oat229"	"Env2"	7360.321513
"493"	"Oat243"	"Env2"	7099.354368
"494"	"Oat196"	"Env3"	7191.518035
"495"	"Oat10"	"Env4"	6983.718896
"496"	"Oat299"	"Env2"	6740.301186
"497"	"Oat84"	"Env3"	6278.623937
"498"	"Oat170"	"Env2"	6437.144495
"499"	"Oat77"	"Env4"	6842.466415
"500"	"Oat304"	"Env3"	6401.878845
"501"	"Oat193"	"Env4"	7232.411547
"502"	"Oat310"	"Env4"	7065.81288
"503"	"Oat120"	"Env1"	5469.372525
"504"	"Oat321"	"Env1"	5489.330679
"505"	"Oat163"	"Env2"	5488.739286
"506"	"Oat5"	"Env3"	6139.971129
"507"	"Oat75"	"Env3"	6674.981803
"508"	"Oat277"	"Env2"	7138.220439
"509"	"Oat179"	"Env2"	6451.425624
"510"	"Oat19"	"Env4"	6225.351293
"511"	"Oat125"	"Env3"	5918.663963
"512"	"Oat292"	"Env2"	7756.386869
"513"	"Oat197"	"Env2"	7157.060721
"514"	"Oat99"	"Env3"	5625.978436
"515"	"Oat192"	"Env4"	7765.588553
"516"	"Oat322"	"Env3"	5225.581803
"517"	"Oat220"	"Env2"	6755.997494
"518"	"Oat8"	"Env4"	7605.636516
"519"	"Oat172"	"Env1"	7291.783134
"520"	"Oat171"	"Env1"	6793.119079
"521"	"Oat10"	"Env1"	6662.769012
"522"	"Oat85"	"Env4"	6669.317055
"523"	"Oat123"	"Env1"	6004.647029
"524"	"Oat286"	"Env4"	6951.634569
"525"	"Oat135"	"Env4"	6543.140712
"526"	"Oat36"	"Env2"	7906.975224
"527"	"Oat203"	"Env2"	6221.47251
"528"	"Oat273"	"Env4"	6076.685826
"529"	"Oat183"	"Env2"	6845.962949
"530"	"Oat210"	"Env3"	5886.113321
"531"	"Oat244"	"Env3"	6468.718629
"532"	"Oat55"	"Env3"	6482.644296
"533"	"Oat78"	"Env4"	6817.554854
"534"	"Oat16"	"Env2"	5910.755882
"535"	"Oat288"	"Env1"	5960.651621
"536"	"Oat297"	"Env1"	7046.208814
"537"	"Oat132"	"Env3"	5870.996922
"538"	"Oat252"	"Env3"	7080.348718
"539"	"Oat188"	"Env1"	6980.29544
"540"	"Oat153"	"Env1"	5371.320222
"541"	"Oat117"	"Env2"	6292.808715
"542"	"Oat185"	"Env4"	7242.05231
"543"	"Oat95"	"Env4"	6424.812719
"544"	"Oat83"	"Env4"	7036.661404
"545"	"Oat28"	"Env1"	6402.860366
"546"	"Oat61"	"Env1"	5295.10347
"547"	"Oat111"	"Env4"	7415.284125
"548"	"Oat143"	"Env2"	6381.64899
"549"	"Oat112"	"Env3"	6536.016033
"550"	"Oat191"	"Env2"	6005.952726
"551"	"Oat231"	"Env4"	5993.397692
"552"	"Oat79"	"Env3"	5874.091491
"553"	"Oat69"	"Env2"	6005.432111
"554"	"Oat13"	"Env3"	5613.551594
"555"	"Oat194"	"Env2"	6276.853627
"556"	"Oat42"	"Env4"	7229.941375
"557"	"Oat27"	"Env2"	6621.884647
"558"	"Oat149"	"Env1"	6116.566304
"559"	"Oat254"	"Env1"	6132.620355
"560"	"Oat58"	"Env3"	7181.009838
"561"	"Oat22"	"Env1"	5947.884241
"562"	"Oat56"	"Env1"	7057.09202
"563"	"Oat140"	"Env1"	5881.308419
"564"	"Oat25"	"Env3"	6451.936438
"565"	"Oat64"	"Env1"	6404.094582
"566"	"Oat286"	"Env1"	6367.305776
"567"	"Oat16"	"Env4"	6424.101582
"568"	"Oat177"	"Env3"	6414.569586
"569"	"Oat267"	"Env1"	7211.71694
"570"	"Oat255"	"Env4"	6561.487933
"571"	"Oat311"	"Env2"	6657.897328
"572"	"Oat18"	"Env2"	6224.061034
"573"	"Oat287"	"Env3"	5822.674558
"574"	"Oat326"	"Env1"	5774.165141
"575"	"Oat206"	"Env1"	6650.576776
"576"	"Oat222"	"Env4"	6709.134566
"577"	"Oat148"	"Env1"	5599.56519
"578"	"Oat95"	"Env3"	5960.406854
"579"	"Oat255"	"Env2"	7282.403537
"580"	"Oat319"	"Env2"	5770.749878
"581"	"Oat175"	"Env4"	6938.496225
"582"	"Oat197"	"Env1"	6488.846506
"583"	"Oat143"	"Env3"	6141.380553
"584"	"Oat323"	"Env1"	6680.806985
"585"	"Oat257"	"Env1"	6577.401975
"586"	"Oat17"	"Env2"	6884.969789
"587"	"Oat207"	"Env1"	6166.151415
"588"	"Oat316"	"Env1"	6812.036616
"589"	"Oat252"	"Env1"	6793.395417
"590"	"Oat54"	"Env1"	5706.456069
"591"	"Oat128"	"Env2"	6577.254309
"592"	"Oat264"	"Env1"	5882.707041
"593"	"Oat221"	"Env4"	7176.043517
"594"	"Oat65"	"Env1"	6900.941654
"595"	"Oat217"	"Env2"	7545.589381
"596"	"Oat39"	"Env4"	7328.578805
"597"	"Oat37"	"Env2"	6452.693175
"598"	"Oat169"	"Env3"	5943.413459
"599"	"Oat87"	"Env3"	5417.922948
"600"	"Oat185"	"Env1"	6105.503487
"601"	"Oat31"	"Env4"	6890.373301
"602"	"Oat56"	"Env4"	7193.139438
"603"	"Oat294"	"Env2"	6464.734917
"604"	"Oat164"	"Env4"	6257.810228
"605"	"Oat170"	"Env1"	6522.681584
